Date,AMZN_moving_avg,GOOGL_moving_avg,META_moving_avg,AAPL_moving_avg
09/23/2022,120.9057142857143,101.1542857142857,145.04285714285714,153.04857142857145
09/22/2022,123.02714285714286,102.04857142857144,146.62285714285713,153.76285714285714
09/21/2022,124.38571428571429,102.64571428571428,148.0957142857143,153.92
09/20/2022,126.94428571428573,104.3,151.93,155.30714285714288
09/19/2022,128.52714285714288,105.65857142857142,155.22428571428574,155.3742857142857
09/16/2022,129.2642857142857,106.41714285714285,157.23000000000002,155.36999999999998
09/15/2022,130.10714285714286,107.36714285714287,159.24428571428572,156.12142857142857
09/14/2022,130.08285714285714,107.92428571428572,160.52857142857144,156.43
09/13/2022,129.92285714285714,108.33142857142857,161.79285714285714,156.4842857142857
09/12/2022,130.06571428571428,109.10571428571428,163.53999999999996,157.07285714285715
09/09/2022,128.68285714285713,108.72857142857143,162.67857142857142,156.18571428571428
09/08/2022,128.03428571428572,108.48428571428573,160.96571428571428,156.4057142857143
09/07/2022,128.03,108.63285714285713,160.55285714285714,157.3957142857143
09/06/2022,128.21142857142857,108.75999999999999,160.75142857142856,158.49
09/02/2022,129.80714285714285,110.16571428571429,162.21428571428572,160.70428571428573
09/01/2022,130.70571428571427,111.0,162.6342857142857,162.37857142857143
08/31/2022,131.5342857142857,111.58857142857143,162.02714285714288,163.7028571428571
08/30/2022,132.45571428571427,112.44857142857143,162.0442857142857,165.18142857142857
08/29/2022,133.81285714285713,113.63,163.58714285714288,166.9828571428571
08/26/2022,135.6,115.16571428571429,165.8,168.80714285714288
08/25/2022,137.2214285714286,116.48142857142855,167.66714285714286,170.3685714285714
08/24/2022,138.29285714285714,117.20285714285714,169.1942857142857,170.79714285714286
08/23/2022,139.63285714285715,118.40142857142858,171.71285714285713,171.6057142857143
08/22/2022,141.05142857142854,119.51857142857145,174.48285714285717,172.30142857142854
08/19/2022,142.11142857142855,120.1757142857143,176.54571428571427,172.43285714285713
08/18/2022,142.7485714285714,120.53142857142859,178.02857142857144,172.1071428571429
08/17/2022,142.11,120.0257142857143,177.15285714285713,170.78857142857143
08/16/2022,141.7257142857143,119.70428571428572,176.49571428571429,169.4057142857143
08/15/2022,141.15714285714284,119.10000000000001,174.73000000000002,168.3085714285714
08/12/2022,141.07,118.5442857142857,173.25571428571428,167.25428571428571
08/11/2022,140.4942857142857,118.03000000000002,171.5842857142857,166.40142857142857
08/10/2022,139.5685714285714,117.5,169.11285714285714,165.19
08/09/2022,138.5257142857143,116.80857142857143,166.48285714285717,164.08571428571426
08/08/2022,138.1142857142857,116.7642857142857,165.1357142857143,163.74142857142857
08/05/2022,135.66714285714284,116.32428571428571,163.77428571428572,162.66714285714284
08/04/2022,132.8342857142857,115.6942857142857,164.12714285714287,161.44428571428574
08/03/2022,128.8685714285714,113.81285714285715,162.49571428571429,159.41428571428568
08/02/2022,126.24285714285713,112.30285714285712,162.18857142857146,157.53142857142856
08/01/2022,124.5657142857143,111.27,163.4857142857143,156.68571428571428
07/29/2022,123.02857142857144,111.19571428571429,166.80571428571426,155.8057142857143
07/28/2022,121.28857142857143,110.85000000000001,170.2328571428571,154.45285714285714
07/27/2022,120.70714285714287,110.79142857142857,172.38428571428568,153.54571428571427
07/26/2022,119.67714285714285,110.21571428571428,172.04857142857145,152.15714285714284
07/25/2022,119.49714285714285,111.18142857142857,172.8414285714286,151.95285714285714
07/22/2022,117.99571428571427,111.59,171.61285714285714,151.31285714285713
07/21/2022,116.27857142857142,112.08285714285715,170.78714285714287,150.08428571428573
07/20/2022,114.07714285714287,112.03714285714285,167.9442857142857,148.72857142857143
07/19/2022,112.50285714285714,112.29142857142857,165.05714285714288,147.5614285714286
07/18/2022,112.12142857142858,113.08285714285715,164.35714285714286,146.99571428571429
07/15/2022,112.48857142857143,114.47571428571429,165.06571428571428,146.89285714285714
07/14/2022,112.60000000000001,114.8742857142857,165.79,145.85714285714286
07/13/2022,113.01,115.28714285714285,167.23857142857145,144.86999999999998
07/12/2022,112.89,114.9142857142857,166.74428571428572,143.93285714285713
07/11/2022,112.46000000000001,114.19142857142857,166.4557142857143,142.62714285714287
07/08/2022,112.05571428571429,113.62285714285714,166.60714285714286,141.82142857142858
07/07/2022,110.89285714285712,112.57428571428572,165.15000000000003,140.45000000000002
07/06/2022,110.44857142857143,112.15285714285714,164.76428571428573,139.78
07/05/2022,110.75285714285715,112.63857142857144,164.82000000000002,139.6
07/01/2022,110.60142857142857,112.49285714285715,163.47142857142856,139.12999999999997
06/30/2022,110.51428571428573,112.88571428571429,162.8742857142857,138.6185714285714
06/29/2022,110.86714285714285,113.25428571428571,162.27428571428572,138.49714285714285
06/28/2022,110.4814285714286,112.60285714285713,162.24571428571429,137.40142857142857
06/27/2022,109.94714285714285,111.74857142857142,162.27285714285713,136.34714285714287
06/24/2022,109.1542857142857,110.88142857142857,162.25285714285715,135.45714285714286
06/23/2022,107.13285714285712,109.27428571428571,161.33428571428573,134.18571428571428
06/22/2022,105.88,108.43857142857144,162.12142857142857,133.27285714285713
06/21/2022,105.97999999999999,108.39142857142858,164.9385714285714,133.52714285714288
06/17/2022,107.04714285714284,108.86285714285714,168.78857142857143,134.4942857142857
06/16/2022,109.1842857142857,110.29857142857142,173.48857142857145,136.83714285714285
06/15/2022,111.94714285714288,111.88714285714285,178.45714285714286,139.5014285714286
06/14/2022,114.39285714285714,112.89571428571428,182.0142857142857,141.03142857142856
06/13/2022,117.25571428571429,114.01285714285713,185.8785714285714,142.83428571428573
06/10/2022,120.37571428571428,115.61714285714287,190.82142857142858,145.5957142857143
06/09/2022,122.09428571428573,116.00714285714285,192.68857142857138,147.25
06/08/2022,122.67428571428572,115.85285714285713,194.06571428571428,148.1357142857143
06/07/2022,121.81285714285714,115.15714285714284,193.84999999999997,148.3757142857143
06/06/2022,120.11,113.82000000000001,193.27571428571426,147.67142857142858
06/03/2022,117.53714285714285,112.24714285714286,191.7871428571428,146.86857142857144
06/02/2022,114.92999999999999,111.02285714285715,190.43,146.15142857142857
06/01/2022,112.36571428571428,110.14714285714287,190.05428571428573,144.99428571428572
05/31/2022,110.35285714285716,109.43571428571428,190.75428571428571,143.40571428571428
05/27/2022,108.5114285714286,108.95285714285714,190.41857142857143,141.7642857142857
05/26/2022,107.36285714285715,108.89285714285714,190.00571428571428,140.50428571428571
05/25/2022,107.97571428571428,110.13285714285713,191.57571428571424,141.28428571428572
05/24/2022,108.55142857142856,111.36571428571428,193.89142857142855,142.00142857142856
05/23/2022,109.83142857142856,112.80571428571427,196.3685714285714,142.9657142857143
05/20/2022,109.74142857142859,112.99857142857141,195.65571428571428,142.88714285714286
05/19/2022,109.42428571428573,113.66857142857144,194.97,144.16
05/18/2022,109.64428571428572,114.24142857142859,195.87857142857143,146.61142857142858
05/17/2022,109.88428571428571,114.32857142857142,196.4457142857143,148.21714285714285
05/16/2022,109.79857142857142,114.22571428571429,196.60999999999999,149.3657142857143
05/13/2022,110.59857142857142,114.52142857142857,197.78714285714287,150.97
05/12/2022,112.43714285714285,115.40857142857142,201.32857142857145,153.67142857142858
05/11/2022,114.91142857142859,116.05,204.29857142857142,156.0885714285714
05/10/2022,117.64428571428572,116.47571428571429,207.49714285714285,157.72571428571428
05/09/2022,119.84714285714287,116.4357142857143,207.9,158.17428571428573
05/06/2022,124.96285714285715,117.2942857142857,209.26,159.82857142857145
05/05/2022,128.3057142857143,117.08571428571427,205.14285714285714,159.72714285714284
05/04/2022,131.58857142857144,117.39142857142858,201.23857142857145,159.73142857142855
05/03/2022,134.46571428571428,117.50714285714285,196.03571428571428,159.28285714285715
05/02/2022,137.33714285714285,117.83714285714287,192.04714285714286,159.61285714285714
04/29/2022,140.73714285714286,119.01285714285716,188.7528571428571,160.82142857142858
04/28/2022,144.98285714285717,121.00285714285714,188.74571428571429,162.19
04/27/2022,146.91428571428574,122.64428571428572,190.4,162.72714285714284
04/26/2022,149.00142857142856,124.55714285714286,195.51714285714283,163.94142857142856
04/25/2022,150.76142857142855,125.71142857142857,199.69285714285715,165.1542857142857
04/22/2022,152.1142857142857,126.6857142857143,203.69285714285715,166.22857142857143
04/21/2022,153.03428571428572,127.83857142857143,207.98285714285717,167.06714285714284
04/20/2022,153.43714285714285,128.41142857142856,212.03857142857143,166.97142857142856
04/19/2022,153.50285714285715,129.16142857142856,215.1685714285714,167.37999999999997
04/18/2022,153.45428571428573,130.00142857142856,215.9742857142857,168.05714285714288
04/14/2022,154.3085714285714,131.26857142857142,217.7642857142857,169.02285714285716
04/13/2022,156.07285714285715,133.2485714285714,220.85857142857142,170.41857142857143
04/12/2022,157.90285714285713,135.11714285714285,223.5585714285714,171.56714285714287
04/11/2022,159.72714285714287,136.8942857142857,225.0885714285714,172.5171428571429
04/08/2022,161.42428571428573,138.35857142857142,225.93142857142857,173.78285714285715
04/07/2022,163.1157142857143,139.59428571428572,226.72,174.87999999999997
04/06/2022,164.76285714285714,140.54,227.70714285714283,175.8542857142857
04/05/2022,166.2242857142857,141.24142857142857,227.74857142857144,176.3928571428571
04/04/2022,166.32571428571427,141.3957142857143,226.31714285714284,176.34428571428572
04/01/2022,165.65428571428575,141.1957142857143,224.27142857142854,175.72
03/31/2022,165.63285714285715,140.92857142857142,222.6442857142857,175.1342857142857
03/30/2022,165.90285714285713,141.04285714285712,221.82857142857145,174.30714285714288
03/29/2022,165.21571428571428,140.20857142857145,219.49142857142857,172.5371428571428
03/28/2022,164.0642857142857,139.29714285714286,217.5814285714286,170.39714285714288
03/25/2022,162.3857142857143,138.20857142857145,215.33142857142857,168.25714285714284
03/24/2022,160.71857142857144,137.01000000000002,212.73285714285709,166.09571428571425
03/23/2022,158.39285714285714,135.24285714285716,208.79857142857142,163.3842857142857
03/22/2022,155.31285714285715,133.48142857142858,204.96571428571426,160.58571428571426
03/21/2022,152.5457142857143,132.05285714285714,200.8171428571429,158.57285714285715
03/18/2022,150.45000000000002,131.52857142857144,198.49142857142857,157.59285714285716
03/17/2022,147.3114285714286,131.14142857142855,195.92142857142858,157.4457142857143
03/16/2022,144.27857142857144,130.17857142857142,193.41428571428574,156.99142857142857
03/15/2022,142.04285714285714,129.19285714285715,191.1057142857143,156.95000000000002
03/14/2022,141.7957142857143,129.57999999999998,192.25285714285715,158.1042857142857
03/11/2022,142.66,130.71571428571428,194.58714285714288,160.3342857142857
03/10/2022,143.59285714285713,131.38714285714286,197.5157142857143,162.02428571428572
03/09/2022,144.20999999999998,131.61999999999998,198.69857142857146,162.69285714285715
03/08/2022,146.25,131.85428571428568,200.48857142857142,163.00285714285715
03/07/2022,148.79,132.90571428571428,203.37285714285716,164.0614285714286
03/04/2022,150.77714285714288,133.80714285714288,206.24857142857144,164.55285714285714
03/03/2022,150.6614285714286,133.19,206.01857142857142,164.10999999999999
03/02/2022,150.99,132.6057142857143,205.89142857142858,163.83714285714285
03/01/2022,151.06857142857143,132.01000000000002,205.61285714285714,163.94285714285712
02/28/2022,151.57,131.79285714285712,206.21571428571428,164.7542857142857
02/25/2022,152.21857142857144,132.17571428571426,207.00285714285715,165.81571428571428
02/24/2022,152.60714285714286,132.48285714285714,208.50571428571428,166.95000000000002
02/23/2022,153.15142857142857,132.88857142857142,209.94857142857146,167.82714285714286
02/22/2022,154.35999999999999,133.84428571428572,212.96285714285713,169.05142857142854
02/18/2022,155.61714285714285,135.10285714285712,216.67571428571426,170.16571428571427
02/17/2022,156.8442857142857,136.70142857142858,220.36714285714285,171.44857142857146
02/16/2022,157.81,137.68142857142857,222.14857142857142,172.29857142857142
02/15/2022,157.7871428571428,137.89000000000001,223.34428571428572,172.17142857142858
02/14/2022,157.9485714285714,138.8442857142857,225.64285714285714,172.11428571428573
02/11/2022,155.61714285714285,139.9242857142857,228.50857142857143,172.68857142857146
02/10/2022,155.2342857142857,141.8842857142857,243.28714285714287,173.71714285714285
02/09/2022,154.11857142857144,141.74428571428572,256.27714285714285,174.07285714285712
02/08/2022,152.45857142857145,140.8457142857143,267.8857142857143,173.85857142857142
02/07/2022,149.96857142857144,139.98142857142858,279.53285714285715,173.21571428571428
02/04/2022,147.3542857142857,138.5242857142857,289.4942857142857,171.4385714285714
02/03/2022,144.67285714285714,136.5157142857143,297.7142857142857,169.62428571428572
02/02/2022,144.8357142857143,134.20857142857145,306.6271428571429,167.75
02/01/2022,143.96857142857144,131.75142857142856,304.58571428571435,165.71857142857147
01/31/2022,142.74714285714285,130.70999999999998,302.32428571428574,163.97571428571428
01/28/2022,143.04714285714286,130.4257142857143,302.7957142857143,162.50857142857143
01/27/2022,144.80714285714285,130.67857142857144,305.34999999999997,161.9228571428571
01/26/2022,147.5614285714286,131.67857142857142,308.7085714285714,163.43428571428572
01/25/2022,150.88571428571427,133.14285714285717,314.03285714285715,165.34571428571425
01/24/2022,153.91714285714284,134.80714285714285,317.7942857142857,167.1185714285714
01/21/2022,156.86999999999998,136.32571428571427,321.3014285714285,169.1057142857143
01/20/2022,160.1157142857143,137.66714285714286,325.75857142857143,170.91571428571427
01/19/2022,161.51857142857145,138.43285714285716,327.40285714285716,172.01285714285714
01/18/2022,162.4114285714286,138.7042857142857,329.1457142857143,172.86142857142858
01/14/2022,163.03,138.9542857142857,331.19,173.1757142857143
01/13/2022,163.34714285714284,138.71142857142857,330.0857142857143,173.44
01/12/2022,164.24857142857147,139.54142857142855,331.5214285714286,174.51285714285714
01/11/2022,164.99,140.04999999999998,332.27571428571434,175.4385714285714
01/10/2022,164.92833333333334,140.10166666666666,331.9266666666667,175.49833333333333
01/07/2022,165.616,140.38799999999998,332.698,176.16
01/06/2022,166.3825,141.23,332.925,177.15749999999997
01/05/2022,167.42666666666665,142.39000000000001,333.08,178.87666666666667
01/04/2022,168.96,144.695,337.53499999999997,180.855
01/03/2022,170.4,144.99,338.54,182.01
